full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Luther Burden III,WR,CHI,23,0,5.92,0.88,0.88,385.18,378.08,6.47
Jacoby Brissett,QB,ARI,34,9,16.20,0.60,0.62,188.07,181.44,6.22
J.D. McKissic,RB,WAS,33,6,7.48,0.71,0.72,27.74,21.81,5.50
DeAndre Hopkins,WR,BAL,34,12,9.12,0.78,0.69,39.68,33.81,5.46
Brandin Cooks,WR,BUF,33,11,8.68,0.75,0.68,55.66,50.19,5.10
Jamaal Williams,RB,NO,31,7,7.10,0.80,0.89,63.97,58.68,4.82
Kenyan Drake,RB,GB,32,7,6.99,0.60,0.87,33.13,28.14,4.55
Brian Burns,LB,NYG,28,6,13.12,0.89,0.63,131.25,126.53,4.43
Carson Wentz,QB,MIN,34,9,16.08,0.45,0.54,89.14,84.99,3.92
Tyler Lockett,WR,LV,34,10,8.59,0.88,0.70,42.14,38.11,3.74
D'Onta Foreman,RB,CLE,30,7,7.30,0.69,0.98,72.71,68.86,3.47
Devontae Booker,RB,NYG,34,5,7.17,0.88,0.66,18.41,14.71,3.46
Raheem Mostert,RB,LV,34,10,7.50,0.72,0.92,15.63,11.95,3.35
Devonta Freeman,RB,BAL,34,7,7.09,0.88,0.68,18.19,14.71,3.25
Geno Smith,QB,LV,36,12,16.70,0.84,0.44,98.45,95.19,3.12
Zay Jones,WR,ARI,31,8,8.19,0.58,0.80,48.48,45.23,2.99
Rashod Bateman,WR,BAL,27,4,7.03,0.73,0.69,135.19,132.21,2.78
Mike Davis,RB,BAL,33,7,6.58,0.73,0.80,21.43,18.67,2.53
Jerick McKinnon,RB,KC,34,9,6.93,0.78,0.89,15.64,12.93,2.47
Kirk Cousins,QB,ATL,38,13,17.46,0.75,0.49,30.79,28.47,2.21
Michael Thomas,WR,NO,33,7,8.19,0.62,0.42,33.78,31.51,2.17
Travis Kelce,TE,KC,37,12,12.10,0.90,0.54,12.08,9.86,2.10
Adam Thielen,WR,PIT,36,12,9.20,0.76,0.70,13.25,11.01,2.09
Michael Gallup,WR,WAS,30,7,7.85,0.78,0.59,70.28,68.37,1.80
