full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Zion Childress,DB,DAL,24,0,0.00,0.47,,0.00,0.00,0.00
Tommy Tremble,TE,CAR,26,4,4.14,0.74,0.75,0.00,0.00,0.00
Christian Izien,DB,TB,26,2,5.49,0.74,0.88,0.00,0.00,0.00
Kaevon Merriweather,DB,HOU,27,2,4.26,0.52,0.94,0.00,0.00,0.00
Mitchell Tinsley,WR,CIN,27,2,5.65,0.64,0.67,0.00,0.00,0.00
Trent Harris,LB,LV,31,4,4.17,0.72,0.00,0.00,0.00,0.00
Khyiris Tonga,DL,NE,30,4,3.54,0.53,0.73,0.00,0.00,0.00
Noah Dawkins,LB,CHI,29,3,4.51,0.69,0.00,0.00,0.00,0.00
Patrick Jones II,LB,CAR,28,4,7.52,0.51,1.07,0.00,0.00,0.00
Zach Wilson,QB,MIA,27,4,12.60,0.58,0.61,0.00,0.00,0.00
Elijah Garcia,DL,ATL,28,3,4.79,0.34,0.92,0.00,0.00,0.00
Jordan Davis,DL,PHI,26,3,5.66,0.72,0.90,0.00,0.00,0.00
Quay Walker,LB,GB,26,3,8.96,0.83,0.59,0.00,0.00,0.00
Devonte Wyatt,DL,GB,28,3,7.12,0.65,0.99,0.00,0.00,0.00
Riq Woolen,DB,SEA,27,3,7.65,0.86,0.69,0.00,0.00,0.00
Brandon Stephens,DB,NYJ,29,4,7.13,0.86,0.64,0.00,0.00,0.00
Baron Browning,LB,ARI,27,4,6.63,0.63,0.95,0.00,0.00,0.00
Greg Newsome II,DB,JAX,26,4,6.55,0.76,0.86,0.00,0.00,0.00
Antonio Gandy-Golden,WR,WAS,28,2,0.00,0.68,,0.00,0.00,0.00
Jevon Holland,DB,NYG,26,4,7.54,0.79,0.79,0.00,0.00,0.00
Chazz Surratt,LB,SEA,29,4,3.54,0.44,1.02,0.00,0.00,0.00
Hunter Long,TE,JAX,28,4,3.30,0.38,0.85,0.00,0.00,0.00
Josh Jobe,DB,SEA,28,3,6.39,0.64,0.73,0.00,0.00,0.00
Nahshon Wright,DB,CHI,28,4,8.21,0.60,0.88,0.00,0.00,0.00
Jack Cochrane,LB,KC,27,3,3.65,0.47,1.01,0.00,0.00,0.00
Ja'Quan McMillian,DB,DEN,26,3,9.02,0.75,0.94,0.00,0.00,0.00
Tim Harris,DB,BUF,31,3,5.18,0.68,0.00,0.00,0.00,0.00
Jaylon Jones,DB,CHI,29,3,4.37,0.52,0.93,0.00,0.00,0.00
Jack Sanborn,LB,DAL,26,3,5.50,0.65,0.97,0.00,0.00,0.00
Jake Tonges,TE,SF,27,3,4.97,0.47,0.71,0.00,0.00,0.00
Reed Blankenship,DB,PHI,27,3,7.58,0.79,0.67,0.00,0.00,0.00
JL Skinner,DB,DEN,25,2,3.73,0.57,0.55,0.00,0.00,0.00
Thomas Incoom,LB,CAR,27,2,3.29,0.49,0.62,0.00,0.00,0.00
Daniel Scott,DB,IND,28,2,5.26,0.50,0.00,0.00,0.00,0.00
Karl Brooks,DL,GB,26,2,5.47,0.68,0.88,0.00,0.00,0.00
Yasir Abdullah,LB,JAX,26,2,3.29,0.49,0.48,0.00,0.00,0.00
Cameron Mitchell,DB,IND,25,2,4.87,0.59,0.82,0.00,0.00,0.00
Micheal Clemons,DL,NYJ,29,3,4.61,0.72,1.11,0.00,0.00,0.00
Derion Kendrick,DB,LA,26,3,6.55,0.65,0.78,0.00,0.00,0.00
DeAngelo Malone,LB,ATL,27,3,4.20,0.48,1.44,0.00,0.00,0.00
Chad Muma,LB,NE,27,3,4.29,0.46,1.25,0.00,0.00,0.00
PJ Mustipher,DL,ARI,28,2,3.89,0.53,0.74,0.00,0.00,0.00
Kelee Ringo,DB,PHI,24,2,5.26,0.59,0.89,0.00,0.00,0.00
Josh Hayes,DB,TB,27,2,4.18,0.54,1.26,0.00,0.00,0.00
Calijah Kancey,DL,TB,25,2,7.76,0.59,0.77,0.00,0.00,0.00
Ty Okada,DB,SEA,27,2,6.34,0.51,0.87,0.00,0.00,0.00
Art Green,DB,NYG,26,2,4.74,0.44,0.59,0.00,0.00,0.00
DeMarcco Hellams,DB,ATL,26,2,4.27,0.58,0.81,0.00,0.00,0.00
Brayden Willis,TE,SF,27,2,3.02,0.33,0.53,0.00,0.00,0.00
Chris Smith II,DB,NYJ,26,2,4.60,0.32,0.00,0.00,0.00,0.00
Kei'Trel Clark,DB,ARI,25,2,5.32,0.58,0.81,0.00,0.00,0.00
Tanner Conner,TE,NYG,28,3,3.24,0.45,0.41,0.00,0.00,0.00
Andrei Iosivas,WR,CIN,27,2,6.36,0.77,0.69,0.00,0.00,0.00
Mike Morris,DL,SEA,25,2,3.93,0.45,1.13,0.00,0.00,0.00
Darrell Luter Jr.,DB,SF,26,2,4.64,0.44,0.82,0.00,0.00,0.00
Nick Herbig,LB,PIT,25,2,8.77,0.74,0.83,0.00,0.00,0.00
Darnell Washington,TE,PIT,25,2,4.02,0.68,0.66,0.00,0.00,0.00
Tyrell Shavers,WR,BUF,27,2,4.74,0.51,0.86,0.00,0.00,0.00
Deonte Banks,DB,NYG,25,2,6.73,0.76,0.62,0.00,0.00,0.00
Vernon Broughton,DL,NO,25,0,0.00,0.47,,0.00,0.00,0.00
Andy Dalton,QB,CAR,39,14,12.37,0.47,0.68,0.00,0.00,0.00
Brent Urban,DL,BAL,35,11,4.71,0.52,1.03,0.00,0.00,0.00
Harrison Smith,DB,MIN,37,13,9.04,0.84,0.77,0.00,0.00,0.00
LaCale London,DL,ATL,29,5,5.95,0.60,1.17,0.00,0.00,0.00
Bobby Brown III,DL,CAR,26,4,3.83,0.54,0.66,0.00,0.00,0.00
James Pierre,DB,PIT,30,5,5.57,0.60,0.85,0.00,0.00,0.00
Drew Lock,QB,SEA,30,6,10.04,0.44,1.04,0.00,0.00,0.00
David Sills,WR,ATL,31,6,5.21,0.58,0.89,0.00,0.00,0.00
Fadil Diggs,LB,NO,25,0,0.00,0.48,,0.00,0.00,0.00
Josiah Bronson,DL,TEN,29,4,4.07,0.74,0.58,0.00,0.00,0.00
Cornell Armstrong,DB,MIA,31,7,5.78,0.48,0.81,0.00,0.00,0.00
Trey Marshall,DB,LAC,30,3,4.95,0.71,0.55,0.00,0.00,0.00
Geronimo Allison,WR,ATL,32,6,0.00,0.68,,0.00,0.00,0.00
Jerrick Reed II,DB,TEN,26,2,4.02,0.41,0.52,0.00,0.00,0.00
Jordan Howden,DB,NO,26,2,4.74,0.69,1.03,0.00,0.00,0.00
DJ Johnson,LB,WAS,28,2,3.95,0.51,0.77,0.00,0.00,0.00
Simi Fehoko,WR,ARI,29,4,4.52,0.36,0.80,0.00,0.00,0.00
Jalyn Armour-Davis,DB,TEN,27,3,4.45,0.43,0.96,0.00,0.00,0.00
Charlie Kolar,TE,BAL,27,3,3.14,0.50,0.85,0.00,0.00,0.00
Tucker Fisk,TE,LAC,27,3,2.82,0.40,0.19,0.00,0.00,0.00
Kaden Davis,WR,CLE,28,3,0.00,0.35,,0.00,0.00,0.00
Cameron Sample,DL,CIN,27,4,4.48,0.68,1.20,0.00,0.00,0.00
Tristin McCollum,DB,LV,27,3,4.69,0.48,0.76,0.00,0.00,0.00
Deon Yelder,TE,ARI,31,4,3.28,0.68,0.00,0.00,0.00,0.00
Charlie Woerner,TE,ATL,29,5,2.43,0.49,0.56,0.00,0.00,0.00
Kevin Austin Jr.,WR,NO,26,3,5.51,0.55,0.73,0.00,0.00,0.00
Donte Deayon,DB,LA,32,5,4.87,0.81,0.82,0.00,0.00,0.00
Marco Wilson,DB,CIN,27,4,5.84,0.57,0.93,0.00,0.00,0.00
Tommy Togiai,DL,HOU,27,4,5.29,0.61,0.85,0.00,0.00,0.00
Dallis Flowers,DB,CHI,29,3,4.75,0.38,0.88,0.00,0.00,0.00
Colin Thompson,TE,MIN,33,6,3.26,0.68,0.00,0.00,0.00,0.00
Jonathon Cooper,LB,DEN,28,4,8.52,0.84,0.74,0.00,0.00,0.00
Tre'von Moehrig,DB,CAR,27,4,8.40,0.87,0.72,0.00,0.00,0.00
Codey McElroy,TE,TB,34,4,0.00,0.66,,0.00,0.00,0.00
Derrick Barnes,LB,DET,27,4,5.92,0.72,0.86,0.00,0.00,0.00
Greg Rousseau,DL,BUF,26,4,9.88,0.85,0.83,0.00,0.00,0.00
Kyle Pitts,TE,ATL,26,4,8.76,0.87,0.72,0.00,0.00,0.00
Pete Werner,LB,NO,27,4,6.56,0.81,0.71,0.00,0.00,0.00
Allen Lazard,WR,NYJ,31,7,7.38,0.68,0.73,0.00,0.00,0.00
Zaven Collins,LB,ARI,27,4,6.63,0.82,0.86,0.00,0.00,0.00
Jaelan Phillips,LB,PHI,27,4,9.15,0.68,0.83,0.00,0.00,0.00
Paulson Adebo,DB,NYG,27,4,9.79,0.72,0.70,0.00,0.00,0.00
Odafe Oweh,LB,LAC,28,4,8.14,0.81,0.89,0.00,0.00,0.00
Andre Cisco,DB,NYJ,26,4,6.46,0.75,0.82,0.00,0.00,0.00
Chris Jones,DB,TEN,31,3,4.60,0.74,0.78,0.00,0.00,0.00
Eric Stokes,DB,LV,27,4,4.68,0.67,0.79,0.00,0.00,0.00
Joseph Ossai,DL,CIN,26,4,6.54,0.73,0.97,0.00,0.00,0.00
Justin Lawler,LB,TEN,32,4,0.00,0.68,,0.00,0.00,0.00
Kyzir White,LB,SF,30,7,8.32,0.68,0.63,0.00,0.00,0.00
Luke Stocker,TE,MIN,38,10,3.00,0.72,0.13,0.00,0.00,0.00
Kenny Robinson,DB,PIT,27,3,4.40,0.76,0.75,0.00,0.00,0.00
Jabrill Peppers,DB,PIT,31,8,6.57,0.56,0.69,0.00,0.00,0.00
David Moore,WR,CAR,31,8,5.28,0.49,0.88,0.00,0.00,0.00
Jonathan Bullard,DL,NO,33,9,4.16,0.66,0.90,0.00,0.00,0.00
Brett Rypien,QB,MIN,30,6,10.83,0.33,0.75,0.00,0.00,0.00
Jaycee Horn,DB,CAR,27,4,8.00,0.66,0.75,0.00,0.00,0.00
Marcus Jones,DB,NE,28,3,7.64,0.68,0.93,0.00,0.00,0.00
Terrel Bernard,LB,BUF,27,3,8.61,0.74,0.87,0.00,0.00,0.00
Daren Bates,LB,ATL,36,8,4.24,0.72,0.43,0.00,0.00,0.00
Josh Mauro,DL,ARI,35,7,5.07,0.68,0.00,0.00,0.00,0.00
Christian Barmore,DL,NE,27,4,6.22,0.70,1.09,0.00,0.00,0.00
Osa Odighizuwa,DL,DAL,28,4,6.34,0.87,0.95,0.00,0.00,0.00
Ernest Jones,LB,SEA,27,4,8.88,0.85,0.79,0.00,0.00,0.00
Roy Robertson-Harris,DL,NYG,33,9,5.38,0.73,0.80,0.00,0.00,0.00
Barrington Wade,LB,CHI,29,2,0.00,0.68,,0.00,0.00,0.00
Sheldon Rankins,DL,HOU,32,9,5.89,0.68,1.14,0.00,0.00,0.00
DeForest Buckner,DL,IND,32,9,10.74,0.75,0.59,0.00,0.00,0.00
Sterling Shepard,WR,TB,33,9,6.80,0.64,0.78,0.00,0.00,0.00
Cameron Thomas,DL,CLE,26,3,5.13,0.52,0.81,0.00,0.00,0.00
Jahleel Addae,DB,IND,36,8,5.22,0.71,0.23,0.00,0.00,0.00
Ronald Blair,DL,NYJ,33,5,4.79,0.76,0.87,0.00,0.00,0.00
Tony Adams,DB,NYJ,27,3,6.96,0.67,0.70,0.00,0.00,0.00
Austin Hooper,TE,NE,32,9,4.71,0.83,0.67,0.00,0.00,0.00
Miles Killebrew,DB,PIT,33,9,3.41,0.44,0.74,0.00,0.00,0.00
Tim Patrick,WR,JAX,33,8,6.11,0.73,0.72,0.00,0.00,0.00
Za'Darius Smith,LB,PHI,34,10,9.50,0.60,0.82,0.00,0.00,0.00
Cam Newton,QB,CAR,37,10,11.75,0.79,0.75,0.00,0.00,0.00
Marquez Valdes-Scantling,WR,PIT,32,7,7.01,0.65,0.82,0.00,0.00,0.00
Dalvin Tomlinson,DL,ARI,32,8,5.74,0.67,0.97,0.00,0.00,0.00
Kendrick Bourne,WR,SF,31,8,6.56,0.72,0.79,0.00,0.00,0.00
Kenny Willekes,DL,PIT,29,5,6.00,0.74,1.15,0.00,0.00,0.00
Xavien Howard,DB,IND,33,9,7.25,0.67,0.65,0.00,0.00,0.00
David Onyemata,DL,ATL,34,9,5.70,0.81,0.76,0.00,0.00,0.00
Jalen Ramsey,DB,PIT,32,9,8.81,0.86,0.67,0.00,0.00,0.00
Andrew Billings,DL,CHI,31,9,4.04,0.61,1.10,0.00,0.00,0.00
Leonard Floyd,DL,ATL,34,9,9.41,0.74,0.77,0.00,0.00,0.00
Maliek Collins,DL,CLE,31,9,7.09,0.77,0.95,0.00,0.00,0.00
A'Shawn Robinson,DL,CAR,31,9,5.80,0.77,0.96,0.00,0.00,0.00
Eric Saubert,TE,SEA,32,8,3.15,0.49,0.76,0.00,0.00,0.00
Eric Murray,DB,JAX,32,9,6.58,0.66,0.81,0.00,0.00,0.00
Nevin Lawson,DB,JAX,35,7,6.04,0.76,0.81,0.00,0.00,0.00
Jihad Ward,LB,TEN,32,9,6.02,0.80,0.95,0.00,0.00,0.00
Matthew Judon,LB,BUF,34,9,9.81,0.67,0.78,0.00,0.00,0.00
Elandon Roberts,LB,LV,32,9,6.34,0.87,0.86,0.00,0.00,0.00
Kalif Raymond,WR,DET,32,9,5.55,0.75,0.67,0.00,0.00,0.00
Joe Walker,LB,ARI,34,6,3.91,0.75,0.35,0.00,0.00,0.00
John Hightower,WR,LAC,30,3,0.00,0.68,,0.00,0.00,0.00
Tommylee Lewis,WR,MIA,34,5,5.06,0.69,0.00,0.00,0.00,0.00
Devin Lloyd,LB,JAX,28,3,8.70,0.87,0.79,0.00,0.00,0.00
Jalen Pitre,DB,HOU,27,3,9.12,0.80,0.69,0.00,0.00,0.00
Blessuan Austin,DB,ATL,30,4,5.05,0.71,0.85,0.00,0.00,0.00
Porter Gustin,DL,MIA,29,3,4.25,0.74,0.79,0.00,0.00,0.00
Matthew Butler,DL,MIA,27,3,3.43,0.38,0.60,0.00,0.00,0.00
Tycen Anderson,DB,CIN,27,3,3.52,0.53,0.58,0.00,0.00,0.00
Shawn Williams,DB,ATL,35,8,5.37,0.71,0.46,0.00,0.00,0.00
Travon Walker,DL,JAX,26,3,8.82,0.81,0.84,0.00,0.00,0.00
Daniel Helm,TE,DET,31,4,3.16,0.69,0.26,0.00,0.00,0.00
Derek Stingley Jr.,DB,HOU,25,3,8.86,0.77,0.73,0.00,0.00,0.00
Maurice Ffrench,WR,LAC,28,2,4.94,0.69,0.00,0.00,0.00,0.00
Hamilcar Rashed,DL,SEA,28,2,0.00,0.66,,0.00,0.00,0.00
Thomas Booker,DL,LV,27,3,4.67,0.63,0.69,0.00,0.00,0.00
Kaiir Elam,DB,TEN,25,3,5.48,0.53,0.81,0.00,0.00,0.00
Sauce Gardner,DB,IND,25,3,6.99,0.81,0.66,0.00,0.00,0.00
Trent McDuffie,DB,KC,26,3,8.43,0.80,0.71,0.00,0.00,0.00
Ja'Marcus Bradley,WR,PIT,30,2,4.60,0.74,0.78,0.00,0.00,0.00
Easop Winston,WR,NYJ,30,4,4.99,0.69,0.00,0.00,0.00,0.00
John Jenkins,DL,BAL,37,12,4.38,0.63,0.93,0.00,0.00,0.00
Tony Jefferson,DB,LAC,34,12,6.41,0.57,0.83,0.00,0.00,0.00
Chris Jones,DL,KC,32,9,10.17,0.85,0.84,0.00,0.00,0.00
Austin Johnson,DL,JAX,32,9,4.56,0.59,0.88,0.00,0.00,0.00
Garrett Gilbert,QB,NE,35,8,11.57,0.71,0.00,0.00,0.00,0.00
Jarran Reed,DL,SEA,34,9,6.85,0.75,0.89,0.00,0.00,0.00
Deion Jones,LB,TB,32,9,6.29,0.55,0.83,0.00,0.00,0.00
Von Miller,LB,WAS,37,14,8.31,0.67,0.80,0.00,0.00,0.00
Ulysses Bentley IV,RB,IND,26,0,0.00,0.46,,0.00,0.00,0.00
Nate Orchard,DL,WAS,33,6,0.00,0.66,,0.00,0.00,0.00
C.J. Goodwin,DB,DAL,36,11,3.17,0.47,0.59,0.00,0.00,0.00
Cam Taylor-Britt,DB,CIN,27,3,8.40,0.70,0.74,0.00,0.00,0.00
Travis Jones,DL,BAL,27,3,5.17,0.77,1.10,0.00,0.00,0.00
Darryl Roberts,DB,WAS,36,6,4.98,0.71,0.50,0.00,0.00,0.00
Micah McFadden,LB,NYG,26,3,7.83,0.65,0.69,0.00,0.00,0.00
Tye Smith,DB,MIN,33,7,5.18,0.69,0.85,0.00,0.00,0.00
Tyrell Adams,LB,IND,34,7,4.66,0.72,0.63,0.00,0.00,0.00
Tyrod Taylor,QB,NYJ,37,14,11.45,0.45,0.75,0.00,0.00,0.00
Chauncey Golston,DL,NYG,28,4,5.88,0.61,0.97,0.00,0.00,0.00
Mac Jones,QB,SF,28,4,14.38,0.73,0.60,0.00,0.00,0.00
Robert Rochell,DB,CAR,28,4,3.54,0.38,1.19,0.00,0.00,0.00
Nate Hobbs,DB,GB,27,4,7.36,0.67,0.70,0.00,0.00,0.00
Damar Hamlin,DB,BUF,28,4,6.62,0.51,0.71,0.00,0.00,0.00
Dee Alford,DB,ATL,29,5,8.64,0.77,0.76,0.00,0.00,0.00
Rayshawn Jenkins,DB,CLE,32,8,7.05,0.79,0.89,0.00,0.00,0.00
Elijah Campbell,DB,MIA,31,7,3.52,0.42,0.89,0.00,0.00,0.00
Brock Wright,TE,DET,28,4,3.90,0.55,0.77,0.00,0.00,0.00
Nick McCloud,DB,CHI,28,4,4.95,0.62,0.97,0.00,0.00,0.00
Quintin Morris,TE,JAX,27,4,3.22,0.45,0.69,0.00,0.00,0.00
Tay Gowan,DB,TEN,28,3,5.15,0.68,0.00,0.00,0.00,0.00
Adrian Peterson,RB,SEA,41,14,5.95,0.71,0.42,0.00,0.00,0.00
Willie Gay Jr.,LB,MIA,28,5,6.87,0.69,0.88,0.00,0.00,0.00
Leki Fotu,DL,HOU,28,5,4.44,0.43,0.94,0.00,0.00,0.00
Naquan Jones,DL,HOU,28,4,5.02,0.47,0.85,0.00,0.00,0.00
Tyson Bagent,QB,CHI,26,2,9.67,0.42,1.27,0.00,0.00,0.00
Malik Heath,WR,ATL,26,2,4.42,0.49,0.53,0.00,0.00,0.00
Ja'Marcus Ingram,DB,HOU,29,3,4.98,0.47,1.62,0.00,0.00,0.00
Markquese Bell,DB,DAL,27,3,5.23,0.58,0.82,0.00,0.00,0.00
Juanyeh Thomas,DB,DAL,26,3,4.17,0.54,0.67,0.00,0.00,0.00
Jake Hansen,LB,HOU,28,3,3.39,0.57,1.02,0.00,0.00,0.00
Mike Brown,DB,TEN,27,3,4.24,0.42,0.71,0.00,0.00,0.00
Javaris Davis,DB,CIN,30,2,5.49,0.68,0.00,0.00,0.00,0.00
D'Anthony Bell,DB,CAR,30,3,4.91,0.50,1.23,0.00,0.00,0.00
Monty Rice,LB,DET,27,4,4.23,0.39,0.82,0.00,0.00,0.00
Brenden Schooler,DB,NE,29,3,3.65,0.55,1.13,0.00,0.00,0.00
Josh Blackwell,DB,CHI,27,3,3.90,0.47,1.00,0.00,0.00,0.00
Matt Cole,WR,WAS,30,2,0.00,0.68,,0.00,0.00,0.00
Antoine Wesley,WR,LV,29,4,6.31,0.78,0.70,0.00,0.00,0.00
Dominique Robinson,DL,CHI,28,3,4.38,0.49,1.12,0.00,0.00,0.00
Grant Calcaterra,TE,PHI,28,3,3.36,0.51,0.73,0.00,0.00,0.00
Dareke Young,WR,SEA,27,3,3.48,0.40,0.79,0.00,0.00,0.00
Cameron Goode,LB,MIA,28,3,3.32,0.46,0.59,0.00,0.00,0.00
Raymond Johnson III,DL,CIN,29,4,4.69,0.71,1.36,0.00,0.00,0.00
Zaire Mitchell-Paden,TE,NO,27,3,3.16,0.53,0.42,0.00,0.00,0.00
Darnell Savage,DB,BUF,29,6,5.77,0.70,0.82,0.00,0.00,0.00
Chris Board,LB,NYG,31,7,3.53,0.50,0.88,0.00,0.00,0.00
Josh Woods,LB,ATL,30,7,4.05,0.46,0.87,0.00,0.00,0.00
Mason Rudolph,QB,PIT,31,7,11.23,0.45,0.72,0.00,0.00,0.00
Mike Ford,DB,ATL,31,7,3.53,0.53,1.15,0.00,0.00,0.00
Ian Thomas,TE,LV,30,7,3.00,0.51,0.62,0.00,0.00,0.00
Uchenna Nwosu,LB,SEA,30,7,8.50,0.69,0.87,0.00,0.00,0.00
M.J. Stewart,DB,HOU,31,7,5.40,0.48,0.75,0.00,0.00,0.00
Garret Wallow,LB,SF,27,4,3.97,0.40,1.23,0.00,0.00,0.00
Kirk Merritt,WR,NO,29,3,5.23,0.69,0.00,0.00,0.00,0.00
Darious Williams,DB,LA,33,7,7.40,0.78,0.78,0.00,0.00,0.00
J.R. Reed,DB,DET,30,2,5.18,0.69,0.28,0.00,0.00,0.00
Chris Lammons,DB,IND,30,7,5.36,0.40,1.22,0.00,0.00,0.00
Tre'Davious White,DB,BUF,31,8,6.33,0.61,0.66,0.00,0.00,0.00
Mitchell Trubisky,QB,BUF,32,8,8.60,0.47,1.20,0.00,0.00,0.00
Pat O'Connor,DL,DET,33,8,4.07,0.37,1.13,0.00,0.00,0.00
Cooper Rush,QB,BAL,33,8,9.79,0.51,1.07,0.00,0.00,0.00
Xavier Woods,DB,TEN,31,8,7.40,0.80,0.68,0.00,0.00,0.00
Isaiah Oliver,DB,NYJ,30,7,5.67,0.71,0.89,0.00,0.00,0.00
Josiah Deguara,TE,ARI,29,5,2.97,0.47,0.98,0.00,0.00,0.00
Daniel Thomas,DB,DET,28,5,3.55,0.44,0.78,0.00,0.00,0.00
James Vaughters,LB,PIT,33,7,4.69,0.75,1.12,0.00,0.00,0.00
Jaylon Johnson,DB,CHI,27,5,6.78,0.72,0.89,0.00,0.00,0.00
K.J. Britt,LB,MIA,27,4,3.95,0.55,0.80,0.00,0.00,0.00
Larrell Murchison,DL,LA,29,5,4.89,0.41,1.50,0.00,0.00,0.00
DaVon Hamilton,DL,JAX,29,5,4.54,0.67,0.74,0.00,0.00,0.00
Harrison Bryant,TE,HOU,28,5,3.69,0.54,0.74,0.00,0.00,0.00
JoJo Natson,WR,CLE,32,4,0.00,0.68,,0.00,0.00,0.00
Jake Browning,QB,CIN,30,6,11.82,0.48,0.74,0.00,0.00,0.00
Anfernee Jennings,LB,NE,29,5,6.12,0.77,0.83,0.00,0.00,0.00
Van Jefferson,WR,TEN,30,5,6.33,0.75,0.67,0.00,0.00,0.00
J.J. Koski,WR,DEN,30,3,0.00,0.68,,0.00,0.00,0.00
T.J. Edwards,LB,CHI,30,6,10.07,0.83,0.61,0.00,0.00,0.00
Shy Tuttle,DL,WAS,31,6,4.05,0.67,0.86,0.00,0.00,0.00
Cole Holcomb,LB,PIT,30,6,6.53,0.64,0.70,0.00,0.00,0.00
Jonathan Jones,DB,WAS,33,9,6.63,0.74,0.73,0.00,0.00,0.00
P.J. Locke,DB,DEN,29,6,6.45,0.56,0.82,0.00,0.00,0.00
Cassius Marsh,LB,CHI,34,7,4.98,0.71,0.76,0.00,0.00,0.00
Tre' McKitty,TE,CLE,27,3,3.37,0.48,0.66,0.00,0.00,0.00
Devon Allen,WR,PHI,32,5,0.00,0.56,,0.00,0.00,0.00
Christian Matthew,DB,DAL,30,3,4.95,0.52,0.81,0.00,0.00,0.00
Vernon Hargreaves,DB,CIN,31,5,5.75,0.76,0.95,0.00,0.00,0.00
Parker Hesse,TE,DET,31,5,2.63,0.51,0.56,0.00,0.00,0.00
Chance Campbell,LB,PHI,27,3,4.51,0.59,0.00,0.00,0.00,0.00
JT Woods,DB,NYJ,26,3,4.75,0.48,0.89,0.00,0.00,0.00
Tre Swilling,DB,CAR,27,3,0.00,0.55,,0.00,0.00,0.00
Eric Banks,DL,TB,28,5,4.27,0.39,0.38,0.00,0.00,0.00
Chase Winovich,DL,MIA,31,4,4.33,0.49,1.11,0.00,0.00,0.00
Kiondre Thomas,DB,PIT,28,3,0.00,0.45,,0.00,0.00,0.00
Kearis Jackson,WR,NYG,27,1,0.00,0.56,,0.00,0.00,0.00
Brennan Scarlett,LB,MIA,33,6,4.37,0.74,1.10,0.00,0.00,0.00
Al Woods,DL,NYJ,39,13,5.33,0.63,0.90,0.00,0.00,0.00
Damarion Williams,DB,TB,28,3,4.84,0.53,1.06,0.00,0.00,0.00
Vincent Gray,DB,CLE,27,2,5.88,0.57,0.00,0.00,0.00,0.00
Ty Shelby,DL,LAC,28,2,4.44,0.57,0.00,0.00,0.00,0.00
Tayler Hawkins,DB,SF,29,2,5.92,0.57,0.00,0.00,0.00,0.00
Byron Jones,DB,MIA,34,7,6.27,0.87,0.52,0.00,0.00,0.00
Olakunle Fatukasi,LB,LA,27,2,4.44,0.46,0.62,0.00,0.00,0.00
Nick Muse,TE,NYJ,28,3,3.30,0.57,0.00,0.00,0.00,0.00
Jace Whittaker,DB,WAS,31,3,5.58,0.43,0.44,0.00,0.00,0.00
Stephen Weatherly,LB,CLE,32,6,5.15,0.82,0.99,0.00,0.00,0.00
Cory Littleton,LB,HOU,33,7,4.73,0.65,0.80,0.00,0.00,0.00
David Wells,TE,TB,31,6,3.37,0.57,0.00,0.00,0.00,0.00
Michael Dogbe,DL,MIN,30,4,3.86,0.52,1.08,0.00,0.00,0.00
Tyreke Smith,LB,KC,26,3,0.00,0.56,,0.00,0.00,0.00
Mohamed Ibrahim,RB,MIN,27,1,0.00,0.54,,0.00,0.00,0.00
Justin Houston,LB,MIA,37,12,7.76,0.67,0.88,0.00,0.00,0.00
Benning Potoa'e,DL,WAS,30,4,4.73,0.37,0.00,0.00,0.00,0.00
Tae Hayes,DB,NYJ,29,5,4.74,0.48,0.38,0.00,0.00,0.00
Marquise Copeland,DL,LA,29,4,4.01,0.50,0.79,0.00,0.00,0.00
De'Jon Harris,LB,WAS,29,3,4.76,0.49,1.16,0.00,0.00,0.00
Shyheim Carter,DB,TEN,29,4,5.18,0.57,0.00,0.00,0.00,0.00
Bryce Hall,DB,TB,29,5,7.94,0.66,0.55,0.00,0.00,0.00
Isaac Rochell,DL,LV,31,6,3.38,0.57,0.77,0.00,0.00,0.00
Deadrin Senat,DL,BAL,32,6,4.84,0.49,0.96,0.00,0.00,0.00
Darrell Daniels,TE,DET,32,6,3.03,0.49,0.12,0.00,0.00,0.00
Tevaughn Campbell,DB,JAX,33,5,5.23,0.47,0.96,0.00,0.00,0.00
Trevon Wesco,TE,LV,31,5,2.84,0.45,0.48,0.00,0.00,0.00
Anthony Harris,DB,PHI,35,7,5.47,0.85,0.69,0.00,0.00,0.00
Mike Strachan,WR,WAS,29,3,5.01,0.41,0.22,0.00,0.00,0.00
Tyler Lancaster,DL,DEN,32,5,3.76,0.58,0.80,0.00,0.00,0.00
Malik Reed,LB,MIA,30,4,5.56,0.57,1.20,0.00,0.00,0.00
Nathan Peterman,QB,ATL,32,7,10.22,0.41,1.78,0.00,0.00,0.00
Justin Evans,DB,PHI,31,6,5.42,0.59,0.76,0.00,0.00,0.00
Leighton Vander Esch,LB,DAL,30,5,5.84,0.69,0.72,0.00,0.00,0.00
Austin Bryant,DL,SF,30,5,5.89,0.48,0.53,0.00,0.00,0.00
Malik Jefferson,LB,DAL,30,5,4.49,0.61,0.76,0.00,0.00,0.00
Innis Gaines,DB,GB,28,3,4.39,0.43,0.34,0.00,0.00,0.00
Timmy Horne,DL,TEN,29,3,3.82,0.56,0.53,0.00,0.00,0.00
Marcus Peters,DB,LV,33,8,6.99,0.74,0.82,0.00,0.00,0.00
Dallin Leavitt,DB,DEN,32,5,3.63,0.53,0.74,0.00,0.00,0.00
Earnest Brown IV,DL,DAL,27,4,4.62,0.45,0.77,0.00,0.00,0.00
